Game_Date,Team_Name,Location,Q1,Q2,Q3,Q4,Total_Score
2023-12-16T00:00:00,Hawks,Away,28,24,29,38,119
2023-12-15T00:00:00,Hawks,Away,30,29,28,38,125
2023-12-13T00:00:00,Hawks,Away,39,27,29,33,128
2023-12-11T00:00:00,Hawks,Home,36,26,24,36,122
2023-12-08T00:00:00,Hawks,Away,23,45,24,22,114
2023-12-06T00:00:00,Hawks,Home,33,23,26,31,113
2023-12-02T00:00:00,Hawks,Away,37,26,35,23,121
2023-11-30T00:00:00,Hawks,Away,26,36,39,36,137
2023-11-28T00:00:00,Hawks,Away,33,28,29,15,105
2023-11-26T00:00:00,Hawks,Away,26,27,29,21,103
2023-11-25T00:00:00,Hawks,Away,34,36,37,29,136
2023-11-22T00:00:00,Hawks,Home,45,32,23,31,131
2023-11-21T00:00:00,Hawks,Home,40,46,28,38,152
2023-11-17T00:00:00,Hawks,Home,24,32,31,29,116
2023-11-15T00:00:00,Hawks,Home,22,34,25,33,114
2023-11-14T00:00:00,Hawks,Away,38,26,33,29,126
2023-11-11T00:00:00,Hawks,Home,24,28,30,27,109
2023-11-09T00:00:00,Hawks,Away,34,39,20,27,120
2023-11-06T00:00:00,Hawks,Away,28,22,27,40,117
2023-11-04T00:00:00,Hawks,Away,27,26,41,29,123
2023-11-01T00:00:00,Hawks,Home,25,34,40,31,130
2023-10-30T00:00:00,Hawks,Home,35,25,38,29,127
2023-10-29T00:00:00,Hawks,Away,31,37,33,26,127
2023-10-27T00:00:00,Hawks,Home,31,30,31,28,120
2023-10-25T00:00:00,Hawks,Away,29,23,21,37,110
2023-12-17T00:00:00,Celtics,Home,27,34,22,31,114
2023-12-15T00:00:00,Celtics,Home,30,34,37,27,128
2023-12-14T00:00:00,Celtics,Home,33,32,25,26,116
2023-12-12T00:00:00,Celtics,Home,21,38,35,26,120
2023-12-08T00:00:00,Celtics,Home,33,41,35,24,133
2023-12-04T00:00:00,Celtics,Away,24,31,23,34,112
2023-12-01T00:00:00,Celtics,Home,44,25,26,30,125
2023-11-28T00:00:00,Celtics,Home,31,38,28,27,124
2023-11-26T00:00:00,Celtics,Home,33,36,21,23,113
2023-11-24T00:00:00,Celtics,Away,30,26,18,22,96
2023-11-22T00:00:00,Celtics,Home,29,38,27,25,119
2023-11-20T00:00:00,Celtics,Away,31,34,22,21,108
2023-11-19T00:00:00,Celtics,Away,26,30,23,23,102
2023-11-17T00:00:00,Celtics,Away,26,39,19,24,108
2023-11-15T00:00:00,Celtics,Away,37,20,26,34,117
2023-11-13T00:00:00,Celtics,Home,25,27,32,30,114
2023-11-11T00:00:00,Celtics,Home,30,25,33,29,117
2023-11-10T00:00:00,Celtics,Home,38,28,27,28,121
2023-11-08T00:00:00,Celtics,Away,27,27,17,32,103
2023-11-06T00:00:00,Celtics,Away,26,29,19,27,101
2023-11-04T00:00:00,Celtics,Away,34,36,21,33,124
2023-11-01T00:00:00,Celtics,Home,44,31,34,46,155
2023-10-30T00:00:00,Celtics,Away,42,35,31,18,126
2023-10-27T00:00:00,Celtics,Home,25,35,27,32,119
2023-10-25T00:00:00,Celtics,Away,30,21,31,26,108
2023-12-16T00:00:00,Cavaliers,Home,41,29,22,35,127
2023-12-14T00:00:00,Cavaliers,Away,24,30,33,20,107
2023-12-12T00:00:00,Cavaliers,Away,31,29,32,21,113
2023-12-11T00:00:00,Cavaliers,Away,29,25,15,25,94
2023-12-08T00:00:00,Cavaliers,Away,17,36,35,23,111
2023-12-06T00:00:00,Cavaliers,Home,37,28,34,22,121
2023-12-02T00:00:00,Cavaliers,Away,25,29,31,25,110
2023-11-30T00:00:00,Cavaliers,Home,25,21,29,20,95
2023-11-28T00:00:00,Cavaliers,Home,29,35,38,26,128
2023-11-26T00:00:00,Cavaliers,Home,25,17,32,31,105
2023-11-25T00:00:00,Cavaliers,Home,40,31,23,21,115
2023-11-22T00:00:00,Cavaliers,Home,26,29,24,17,96
2023-11-21T00:00:00,Cavaliers,Away,27,38,23,22,110
2023-11-19T00:00:00,Cavaliers,Home,29,37,26,29,121
2023-11-17T00:00:00,Cavaliers,Home,35,24,21,28,108
2023-11-15T00:00:00,Cavaliers,Away,30,25,28,26,109
2023-11-13T00:00:00,Cavaliers,Away,25,35,29,31,120
2023-11-11T00:00:00,Cavaliers,Away,30,38,16,34,118
2023-11-08T00:00:00,Cavaliers,Away,29,28,30,33,120
2023-11-05T00:00:00,Cavaliers,Home,29,28,29,29,115
2023-11-03T00:00:00,Cavaliers,Away,26,27,34,29,116
2023-11-01T00:00:00,Cavaliers,Away,24,25,22,24,95
2023-10-31T00:00:00,Cavaliers,Home,24,28,16,23,91
2023-10-28T00:00:00,Cavaliers,Home,37,12,38,26,113
2023-10-27T00:00:00,Cavaliers,Home,26,16,33,30,105
2023-10-25T00:00:00,Cavaliers,Away,37,26,27,24,114
2023-12-17T00:00:00,Pelicans,Away,33,28,44,41,146
2023-12-15T00:00:00,Pelicans,Away,21,29,26,36,112
2023-12-13T00:00:00,Pelicans,Away,28,47,35,32,142
2023-12-11T00:00:00,Pelicans,Home,29,30,31,31,121
2023-12-07T00:00:00,Pelicans,Away,30,24,17,18,89
2023-12-04T00:00:00,Pelicans,Away,35,34,31,27,127
2023-12-02T00:00:00,Pelicans,Away,29,32,21,36,118
2023-12-01T00:00:00,Pelicans,Home,32,31,26,32,121
2023-11-29T00:00:00,Pelicans,Home,39,29,34,22,124
2023-11-27T00:00:00,Pelicans,Away,24,31,33,24,112
2023-11-25T00:00:00,Pelicans,Away,29,24,24,23,100
2023-11-24T00:00:00,Pelicans,Away,36,20,29,31,116
2023-11-22T00:00:00,Pelicans,Home,32,32,29,24,117
2023-11-20T00:00:00,Pelicans,Home,29,37,34,29,129
2023-11-18T00:00:00,Pelicans,Home,35,29,31,25,120
2023-11-17T00:00:00,Pelicans,Home,36,33,26,20,115
2023-11-14T00:00:00,Pelicans,Home,33,37,44,17,131
2023-11-12T00:00:00,Pelicans,Home,27,27,31,39,124
2023-11-10T00:00:00,Pelicans,Away,31,17,31,22,101
2023-11-08T00:00:00,Pelicans,Away,24,20,24,33,101
2023-11-06T00:00:00,Pelicans,Away,27,44,21,24,116
2023-11-04T00:00:00,Pelicans,Home,35,25,23,22,105
2023-11-02T00:00:00,Pelicans,Home,35,37,22,31,125
2023-11-01T00:00:00,Pelicans,Away,14,29,35,32,110
2023-10-30T00:00:00,Pelicans,Home,27,30,21,24,102
2023-10-28T00:00:00,Pelicans,Home,26,29,22,19,96
2023-10-25T00:00:00,Pelicans,Away,25,32,25,29,111
2023-12-16T00:00:00,Bulls,Away,24,33,23,36,116
2023-12-14T00:00:00,Bulls,Away,36,24,33,31,124
2023-12-12T00:00:00,Bulls,Home,25,25,30,26,106
2023-12-11T00:00:00,Bulls,Away,32,33,24,29,118
2023-12-08T00:00:00,Bulls,Away,24,28,35,34,121
2023-12-06T00:00:00,Bulls,Home,27,21,35,28,111
2023-12-02T00:00:00,Bulls,Home,32,21,36,35,124
2023-11-30T00:00:00,Bulls,Home,26,23,31,26,106
2023-11-28T00:00:00,Bulls,Away,20,30,18,29,97
2023-11-26T00:00:00,Bulls,Away,36,19,28,26,109
2023-11-24T00:00:00,Bulls,Away,22,26,29,31,108
2023-11-22T00:00:00,Bulls,Away,14,25,38,25,102
2023-11-20T00:00:00,Bulls,Home,27,26,28,19,100
2023-11-18T00:00:00,Bulls,Home,14,26,28,34,102
2023-11-17T00:00:00,Bulls,Home,16,17,32,32,97
2023-11-15T00:00:00,Bulls,Home,21,12,31,30,94
2023-11-13T00:00:00,Bulls,Away,18,31,25,35,109
2023-11-12T00:00:00,Bulls,Home,22,33,29,35,119
2023-11-08T00:00:00,Bulls,Home,28,29,27,23,107
2023-11-06T00:00:00,Bulls,Home,37,29,32,32,130
2023-11-04T00:00:00,Bulls,Away,22,31,21,27,101
2023-11-03T00:00:00,Bulls,Home,30,28,22,27,107
2023-11-01T00:00:00,Bulls,Away,23,27,33,22,105
2023-10-30T00:00:00,Bulls,Away,27,26,25,34,112
2023-10-28T00:00:00,Bulls,Away,26,18,33,25,102
2023-10-27T00:00:00,Bulls,Home,24,18,23,28,93
2023-10-25T00:00:00,Bulls,Home,35,20,27,22,104
2023-12-16T00:00:00,Mavericks,Away,36,38,36,21,131
2023-12-14T00:00:00,Mavericks,Home,30,30,22,19,101
2023-12-12T00:00:00,Mavericks,Home,34,37,22,34,127
2023-12-11T00:00:00,Mavericks,Away,29,38,29,24,120
2023-12-08T00:00:00,Mavericks,Away,37,34,26,28,125
2023-12-06T00:00:00,Mavericks,Home,40,34,35,38,147
2023-12-02T00:00:00,Mavericks,Home,27,29,28,36,120
2023-12-01T00:00:00,Mavericks,Home,20,24,28,22,94
2023-11-28T00:00:00,Mavericks,Home,29,25,30,37,121
2023-11-25T00:00:00,Mavericks,Away,18,27,17,26,88
2023-11-22T00:00:00,Mavericks,Away,29,33,29,13,104
2023-11-19T00:00:00,Mavericks,Home,36,29,31,17,113
2023-11-18T00:00:00,Mavericks,Away,34,24,40,27,125
2023-11-15T00:00:00,Mavericks,Away,41,30,33,26,130
2023-11-14T00:00:00,Mavericks,Away,26,28,31,25,110
