GAME_DATE_EST,Away_TEAM_NICKNAME,TEAM_NICKNAME,Away_PTS_QTR1,Away_PTS_QTR2,Away_PTS_QTR3,Away_PTS_QTR4,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,Away_Team_Score,Home_Team_Score,Away_PTS_OT1,Away_PTS_OT2,Away_PTS_OT3,Away_PTS_OT4,Away_PTS_OT5,Away_PTS_OT6,Away_PTS_OT7,Away_PTS_OT8,Away_PTS_OT9,Away_PTS_OT10,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10
2023-12-17T00:00:00,Spurs,Pelicans,20,31,27,32,33,28,44,41,110.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-17T00:00:00,Rockets,Bucks,28,32,31,28,33,38,29,28,119.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-17T00:00:00,Wizards,Suns,29,29,31,19,21,25,35,31,108.0,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-17T00:00:00,Trail Blazers,Warriors,23,26,35,30,27,38,24,29,114.0,118.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-17T00:00:00,Celtics,Magic,27,34,22,31,31,19,24,23,114.0,97.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Pistons,Bucks,20,36,27,31,43,38,33,32,114.0,146.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Hornets,76ers,17,27,15,23,33,40,27,35,82.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Hawks,Cavaliers,28,24,29,38,41,29,22,35,119.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Pacers,Timberwolves,20,35,23,31,23,34,38,32,109.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Warriors,Nets,32,38,25,29,25,29,35,31,124.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Clippers,Knicks,35,42,37,30,33,33,32,24,144.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Jazz,Kings,23,27,26,28,35,27,44,19,104.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Thunder,Nuggets,27,27,31,33,31,25,31,30,118.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Mavericks,Trail Blazers,36,38,36,21,39,24,36,21,131.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-16T00:00:00,Heat,Bulls,36,22,33,27,24,33,23,36,118.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,Magic,Celtics,24,27,27,33,30,34,37,27,111.0,128.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,Raptors,Hawks,24,25,29,26,30,29,28,38,104.0,125.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,Grizzlies,Rockets,29,26,19,22,14,31,30,28,96.0,103.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,Suns,Knicks,30,38,31,23,31,32,34,42,122.0,139.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,Spurs,Lakers,42,27,29,31,22,40,25,28,129.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,Pacers,Wizards,37,18,32,36,30,39,39,29,123.0,137.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,Hornets,Pelicans,20,19,37,31,21,29,26,36,107.0,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-15T00:00:00,76ers,Pistons,26,35,33,30,22,17,23,30,124.0,92.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14T00:00:00,Mavericks,Timberwolves,30,30,22,19,26,33,28,32,101.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14T00:00:00,Kings,Thunder,29,30,41,28,30,23,39,31,128.0,123.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14T00:00:00,Bulls,Heat,36,24,33,31,22,34,32,28,124.0,116.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14T00:00:00,Nuggets,Nets,29,23,38,34,22,17,28,34,124.0,101.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14T00:00:00,Celtics,Cavaliers,33,32,25,26,24,30,33,20,116.0,107.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14T00:00:00,Jazz,Trail Blazers,38,31,34,19,30,24,22,38,122.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-14T00:00:00,Warriors,Clippers,28,28,37,20,29,40,30,22,113.0,121.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Hawks,Raptors,39,27,29,33,31,33,39,32,128.0,135.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Pistons,76ers,26,30,24,31,39,31,34,25,111.0,129.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Nets,Suns,31,33,22,30,22,34,32,24,116.0,112.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Spurs,Lakers,26,24,24,45,34,29,29,30,119.0,122.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Knicks,Jazz,31,19,34,29,22,30,37,28,113.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Wizards,Pelicans,30,34,29,29,28,47,35,32,122.0,142.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Pacers,Bucks,33,30,31,32,36,34,31,39,126.0,140.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Hornets,Heat,23,22,25,34,22,34,35,24,104.0,115.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-13T00:00:00,Grizzlies,Rockets,23,20,38,23,29,28,25,35,104.0,117.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12T00:00:00,Cavaliers,Celtics,31,29,32,21,21,38,35,26,113.0,120.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12T00:00:00,Warriors,Suns,25,31,31,29,25,28,35,31,116.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12T00:00:00,Lakers,Mavericks,26,35,34,30,34,37,22,34,125.0,127.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12T00:00:00,Kings,Clippers,24,24,22,29,32,38,29,20,99.0,119.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-12T00:00:00,Nuggets,Bulls,32,25,35,22,25,25,30,26,114.0,106.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-11T00:00:00,Mavericks,Grizzlies,29,38,29,24,24,27,28,34,120.0,113.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-11T00:00:00,Trail Blazers,Clippers,32,33,34,28,43,23,39,27,127.0,132.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-12-11T00:00:00,Heat,Hornets,29,30,30,27,24,26,27,37,116.0,114.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
